id,term,source_tables,contexts,gold_category
46,"Index, 1990=100",env_bio3; sdg_15_60,Unit of measure,U
47,"Source sectors for emissions of air pollutants (Nomenclature for reporting, CLRTAP)",tai07,DIMENSION_NAME,N
48,"Price index (implicit deflator), 2015=100, national currency",tipsna51,Unit of measure,U
49,Percentage of enterprises,tin00111; tin00116,Unit of measure,U
50,Dorne?Ti  - Suceava,rail_tf_ns10_ro,Rail network segment (2010),A
51,Population connected to at least secondary wastewater treatment,sdg_06_20,TITLE,M
52,Sector (ESA 2010),tec00038; tec00039; tec00040; tec00041; tec00042; teibp010; teibp020; teibp030; teibp060; teibp070; tipsbp17; tipsbp18; tipsbp20; tipsbp22; tipsbp70; tipsii10; tipsii12; tipsii15; tipsii18; tipsii21,DIMENSION_NAME,N
53,Aquaculture production in tonnes and value,tag00075,TITLE,M
54,MIO_EUR,iww_ec_invest; med_ag50; sbs_cre_gbneea; sbs_cre_pcpay; sbs_cre_pcrec; sbs_cre_pintpay; sbs_cre_pintrex; sbs_cre_ploans; tag00054; tag00055; tag00056; tag00102,unit,U
55,Planetary Boundary,sdg_12_31,Unit of measure,U
56,Jesenice - Kranj,rail_tf_ns10_si; rail_tf_ns15_si; rail_tf_ns20_si; rail_tf_ns_si,Rail network Segment (2015); Rail network segment (2005); Rail network segment (2010); Rail network segment (2020),A
57,Public water supply,med_en44,Hydrological parameters - flows - sources - water supply - treatment of water,A
58,Parents educational attainment level,edat_lfso_00t4,TITLE,M
59,Rating (0-10),ilc_pw01$dv_2761; ilc_pw01b$dv_2749; ilc_pw01b$dv_2751; ilc_pw01b$dv_2781; ilc_pw03$dv_2762; ilc_pw14; ilc_pw15$dv_2750,Unit of measure,U
60,Health indicator,hlth_cd_iap; hlth_co_dischnr; hlth_hlye$dv_2041; hlth_hlye$dv_287; hlth_hlye_h; hsw_ind; sdg_03_11; sdg_11_52; tepsr_sp320; tespm120; tespm130; tps00048; tps00150; tps00208,DIMENSION_NAME,N
61,Three-year average,earn_nt_netft; tipsun10,Statistical information; Unit of measure,U
62,Consequences - Yes/No,lfst_dpw_09,DIMENSION_NAME,N
63,Thousand cubic metres,for_secwpp; for_vol,Unit of measure,U
64,"Ever-working women who have experienced sexual harassment at work, by frequency",gbv_shw_frq,TITLE,M
65,Estimated average age of young people leaving the parental household by sex,yth_demo_030,TITLE,M
66,Percentage of threatened species,med_en53,TITLE,M
67,Euro-zone Business Climate Indicator - monthly data,ei_bsci_m_r2,TITLE,M
68,Sea transport of goods,ttr00009,TITLE,M
69,Person,cens_hndwsize; dsb_sprpb01; dsb_sprpb02; migr_asyaccm$dv_961; migr_asyappctza$dv_618; migr_asymrca; migr_asypenctzm$dv_723; migr_asyresa$dv_629; migr_asytpfa$dv_1381; migr_asytpfm$dv_1383; migr_asytpfq$dv_1382; migr_asytpsm$dv_1384; migr_asywitha$dv_1021; migr_eiord$dv_1261; migr_eirtn$dv_1241; migr_reschst$dv_1285; migr_reslas$dv_1283; migr_resltra$dv_1284; tps00170; tps00171; tps00189; tps00190; tps00191; tps00192; tps00193; tps00194; tps00195; tran_sf_marv; tran_sf_marves,Unit of measure,U
70,Rostijne - Boma,rail_tf_ns10_be; rail_tf_ns15_be; rail_tf_ns_be,Rail network Segment (2015); Rail network segment (2005); Rail network segment (2010),A
71,Percentage based on full-time equivalents (FTE),tsc00006,Unit of measure,U
72,Seasonal adjustment,ei_bsci_m_r2; sts_tot_prod_a; tec00038; tec00039; tec00040; tec00041; tec00042; teibp010; teibp020; teibp030; teibp060; teibp070; teibs010; teibs020; teibs030; teibs040; teibs070; teiis010; teiis011; teiis012; teiis013; teiis014; teiis015; teiis016; teiis020; teiis030; teiis040; teiis050; teiis060; teiis070; teiis400; teilm010; teilm011; teilm012; teilm020; teilm021; teilm022; teina010; teina020; teina030; teina040; teina050; teina080; teina090; teina100; teina110; teina500; teina510; teina515; teina520; tipsbp10; tipsbp100; tipsbp17; tipsbp18; tipsbp20; tipsbp70; tipsbp90; tipsho50; tipsii10; tipsii20; tipsii30; tipsii40; tipsii50; tipsun30; tps00172,DIMENSION_NAME,N
73,Working time,earn_gr_gpgr2wt; earn_ses10_adeci; earn_ses10_mdeci; earn_ses14_adeci; earn_ses14_mdeci; earn_ses18_adeci; earn_ses_adeci; earn_ses_mdeci; hsw_ij_svhos; ilc_iw07; lfst_dpw_03; tessi250; tps00071; tps00175; tqoe3b4,DIMENSION_NAME,N
74,Percentage of risk-weighted assets,tipsbd30,Unit of measure,U
75,Percentage of turnover,tin00110,Unit of measure,U
76,Organic material,med_en23,Waste categories,A
77,Gaziantep - Narly,rail_tf_ns10_tr; rail_tf_ns_tr,Rail network segment (2005); Rail network segment (2010),A
78,Usually,hsw_ij_svnia; hsw_ij_svsha; lfsa_ewpeve$dv_604; lfsa_ewpnig$dv_605; lfsa_ewpsat$dv_606; lfsa_ewpsun$dv_607,Frequency,U
79,Government schemes,hlth_sha11_hf$dv_2821,Classification of health care financing schemes - SHA 2011,A
80,"Family member, neighbour, work colleague",trng_aes_187,Source of information,A
81,Water process,env_wat_pop; ten00001; ten00003; ten00006,DIMENSION_NAME,N
82,Annual work units in forestry and logging,for_awu,TITLE,M
83,Activity and employment status,edat_lfse_14$dv_1864; edat_lfse_14$dv_356; edat_lfse_20$dv_1101; enps_lfsa_egaps; for_awu; hlth_rs_prs2$dv_2824; hsw_ac8$dv_386; hsw_aw_inaws; hsw_aw_nnaws; icw_car_04; icw_sr_15; icw_sr_16; ilc_lvhl30$dv_1323; lfsa_ewpeve$dv_604; lfsa_ewpnig$dv_605; lfsa_ewpsat$dv_606; lfsa_ewpsun$dv_607; lfsa_qoe_3a2$dv_608; lfso_06finiagps; lfso_10fvaredu$dv_609; lfso_12reduchrs; lfst_dpw_05; nama_10r_3empers$dv_1564; sdg_01_41; sdg_04_10; sdg_04_10a; sdg_05_30; sdg_08_20a; tepsr_lm210; tesem020; tesem100; tesem200; tesem210; tesov110; tespm070; tespn100; tipslm16; tps00044; tps00045; tps00071; tps00073; tps00159; tps00167; tqoe3a5; tqoe4a3; trng_nfe15,DIMENSION_NAME,N
84,Children at risk of poverty or social exclusion,tespm040,TITLE,M
85,"Price negotiated with platform, app or clients",lfst_dpw_11,Price setting,A
86,Euro per kilogram of oil equivalent (KGOE),nrg_ind_ep; sdg_07_30,Unit of measure,U
87,Nove Mesto Nad Vahom - Leopoldov,rail_tf_ns10_sk; rail_tf_ns15_sk; rail_tf_ns20_sk; rail_tf_ns_sk,Rail network Segment (2015); Rail network segment (2005); Rail network segment (2010); Rail network segment (2020),A
88,BUCURESTI/HENRI COANDA airport,avia_ec_emp_arp,Reporting airport,A
89,Micrograms per cubic metre,env_air_no2,Unit of measure,U
90,Percentage of total,egi_em1; egi_em2; egi_rd1; egi_va1; egr_mne_n2sc; enpe_nama_10_a10; enps_nama_10_a10; mar_sg_am_ewx; sdg_13_70; sdg_13_70a; tran_im_mosp; tran_im_mospt; tran_im_uiww; tran_im_umar; tran_im_umod; tran_im_urail; tran_im_uroad; tsc00031,Unit of measure,U
91,Tonnes of CO2 equivalent,med_en1,Unit of measure,U
92,Boychinovtzi - Brusartzi,rail_tf_ns10_bg; rail_tf_ns15_bg; rail_tf_ns20_bg,Rail network Segment (2015); Rail network segment (2010); Rail network segment (2020),A
93,Type of operation and loading status,ttr00005,DIMENSION_NAME,N
94,Road traffic: road freight transport in volume,med_rd6,TITLE,M
95,Energy balance,enps_nrg_bal_c; enps_nrg_bal_c1; nrg_bal_s$dv_650; nrg_ind_ren; sdg_07_40,DIMENSION_NAME; TITLE,N
96,CPA_J6712B,sbs_cre_pacc; sbs_cre_pcpay; sbs_cre_pcrec; sbs_cre_pintpay; sbs_cre_pintrex; sbs_cre_ploans,cpa02,A
97,Control over working time,lfso_17seworg,DIMENSION_NAME,N
98,GDP weights used in the calculation of the global specific indicator,prc_rem_gdp,TITLE,M
99,Household composition,icw_car_02; icw_sr_02; icw_sr_09; ilc_chmd02; ilc_scp06$dv_2742; ilc_scp10$dv_2744; ilc_scp12$dv_2746; ilc_scp20$dv_2747; ilc_scp22$dv_2441,DIMENSION_NAME,N
100,"Death due to suicide, by sex",tps00122,TITLE,M
